review_status,visibility,product_model,product_name,category,file_type,file_name,source_url,pdf_links,image_links,manual_links,description,remarks,visibility_reason,needs_manual_review,suggested_action,human_correct_product_model,human_correct_product_name,human_correct_category,human_visibility_decision,human_notes
,public,S-3000,Radial Insertion Machine works for Smart EMS THT PCB Assembly Factory 1,product_landing_page,document,S-3000 Radial Insertion Machine works for Smart EMS THT PCB Assembly Factory 1.html,https://file.autoinsertion.com/public/Product%20landing%20Page/S-3000%20Radial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%201.html,,,https://file.autoinsertion.com/public/Product%20landing%20Page/S-3000%20Radial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%201.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-3000%20Radial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%202.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-3000%20Radial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%203.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-3000%20Radial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory.html,To be confirmed from official document,Sample collected from public directory /Product landing Page. | Grouped 4 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,public,S-4000,Axial Insertion Machine,product_landing_page,document,S-4000 Axial Insertion Machine works for Smart EMS THT PCB Assembly Factory -cl.html,https://file.autoinsertion.com/public/Product%20landing%20Page/S-4000%20Axial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%20-cl.html,,,https://file.autoinsertion.com/public/Product%20landing%20Page/S-4000%20Axial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%20-cl.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-4000%20Axial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%20-g.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-4000%20Axial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%20-g3.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S-4000%20Axial%20Insertion%20Machine%20works%20for%20Smart%20EMS%20THT%20PCB%20Assembly%20Factory%20-g5.html,To be confirmed from official document,Sample collected from public directory /Product landing Page. | Grouped 4 sample files under the same product_model + category | Mapping applied: exact_file_name=S-4000 Axial Insertion Machine works for Smart EMS THT PCB Assembly Factory -cl.html | Standardized product name; Landing page suffix variants cl / g / g3 / g5 retained in source files,Default visibility: public,no,Verify and approve,,,,,
,public,S-680A,SMT Reel Scrap Tape Cutter,product_landing_page,document,S-680A SMT Reel Scrap Tape Cutter.html,https://file.autoinsertion.com/public/Product%20landing%20Page/S-680A%20SMT%20Reel%20Scrap%20Tape%20Cutter.html,,,https://file.autoinsertion.com/public/Product%20landing%20Page/S-680A%20SMT%20Reel%20Scrap%20Tape%20Cutter.html,To be confirmed from official document,Sample collected from public directory /Product landing Page.,Default visibility: public,no,Verify and approve,,,,,
,public,S3010A,Radial Insertion Machine,product_landing_page,document,S3010A Radial Insertion  Machine.html,https://file.autoinsertion.com/public/Product%20landing%20Page/S3010A%20Radial%20Insertion%20%20Machine.html,,,https://file.autoinsertion.com/public/Product%20landing%20Page/S3010A%20Radial%20Insertion%20%20Machine.html,To be confirmed from official document,Sample collected from public directory /Product landing Page.,Default visibility: public,no,Verify and approve,,,,,
,public,S7900,Odd Form Insertion Solution,product_landing_page,document,S7900 Odd Form Insertion Solution.html,https://file.autoinsertion.com/public/Product%20landing%20Page/S7900%20Odd%20Form%20Insertion%20Solution.html,,,https://file.autoinsertion.com/public/Product%20landing%20Page/S7900%20Odd%20Form%20Insertion%20Solution.html; https://file.autoinsertion.com/public/Product%20landing%20Page/S7900%20Oddform%20Insertion%20machine.html,To be confirmed from official document,Sample collected from public directory /Product landing Page. | Grouped 2 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,hidden,S-680A,automatic scrap tape cutting machine,smt_audio,audio,S-680A automatic scrap tape cutting machine.wav,https://file.autoinsertion.com/public/SMT%20Audio/S-680A%20automatic%20scrap%20tape%20cutting%20machine.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S-680A%20automatic%20scrap%20tape%20cutting%20machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S-JVF02,Vibration Stick Feeder RS 1,smt_audio,audio,S-JVF02 Vibration Stick Feeder RS-1.wav,https://file.autoinsertion.com/public/SMT%20Audio/S-JVF02%20Vibration%20Stick%20Feeder%20RS-1.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S-JVF02%20Vibration%20Stick%20Feeder%20RS-1.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S-WS450,PC Wave Solder machine,smt_audio,audio,S-WS450 PC Wave Solder machine.wav,https://file.autoinsertion.com/public/SMT%20Audio/S-WS450%20PC%20Wave%20Solder%20machine.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S-WS450%20PC%20Wave%20Solder%20machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S-3000,Radial insertion machine,smt_audio,audio,Radial insertion machine S3000.wav,https://file.autoinsertion.com/public/SMT%20Audio/Radial%20insertion%20machine%20S3000.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/Radial%20insertion%20machine%20S3000.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio. | Mapping applied: filename_contains=S3000 | Standardized model format,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S3010A,Radial Insertion Machine,smt_audio,audio,S3010A Radial Insertion Machine.wav,https://file.autoinsertion.com/public/SMT%20Audio/S3010A%20Radial%20Insertion%20Machine.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S3010A%20Radial%20Insertion%20Machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
